bldg_id,in.sqft,in.ground_thermal_conductivity,in.vintage,in.heating_fuel,in.hvac_heating_efficiency,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_has_ducts,out.unmet_hours.cooling.hour,out.unmet_hours.heating.hour,base_heating_size,base_cooling_size,upgrade_heating_size,sqft_conditioned,year,month,day,hour,baseline.cooling.energy.kbtu.CP,baseline.heating.energy.kbtu.CP,baseline_total_elec_kwh,baseline_cooling_total_elec_kwh,baseline_cooling_elec_kwh,baseline_cooling_fans_pumps_elec_kwh,baseline_heating_elec_kwh,baseline_heating_gas_kwh,baseline_heating_propane_kwh,baseline_heating_fuel_oil_kwh,upgrade.cooling.energy.kbtu.CP,upgrade.heating.energy.kbtu.CP,upgrade_total_elec_kwh,upgrade_cooling_total_elec_kwh,upgrade_cooling_elec_kwh,upgrade_cooling_fans_pumps_elec_kwh,upgrade_heating_elec_kwh,upgrade_heating_gas_kwh,upgrade_heating_propane_kwh,upgrade_heating_fuel_oil_kwh,time_hour
220680,2678,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",1,Yes,49.25,6,64.25,36.72,64.25,2678,2018,1,7,7,0,64.818,20.179,0.048,0.048,0,19.268,0,0,0,0,62.044000000000004,6.171,0,0,0,5.315,0,0,0,2018-01-07 07:00:00
223471,2678,1.7,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,114.25,27.75,103.06,67.94,115.13,2678,2018,1,7,7,0,100.248,30.139,0.048,0.048,0,29.381,0,0,0,0,100.178,8.571,0,0,0,7.861,0,0,0,2018-01-07 07:00:00
224407,2179,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,40.5,4,71.68,55.34,72.23,2179,2018,1,7,7,0,72.861,21.584,0.048,0.048,0,21.332,0,0,0,0,71.37,5.622999999999999,0,0,0,5.419,0,0,0,2018-01-07 07:00:00
224639,2678,1.7,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",0.6,Yes,1.5,0.75,128.21,48.11,97.88,1606.8,2018,1,7,7,0,131.543,39.548,0.048,0.048,0,38.484,0,0,0,0,92.45400000000001,7.305,0,0,0,6.286,0,0,0,2018-01-07 07:00:00
232745,2179,1.4,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,0,49.25,70.43,45.9,68.19,2179,2018,1,7,7,0,71.743,22.93,0.048,0.048,0,21.04,0,0,0,0,67.86,6.821,0,0,0,4.982,0,0,0,2018-01-07 07:00:00
233241,2678,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,3.75,0,74.45,43.85,73.12,2678,2018,1,7,7,0,67.63,20.804000000000002,0.048,0.048,0,19.822,0,0,0,0,64.87899999999999,6.313,0,0,0,5.380000000000001,0,0,0,2018-01-07 07:00:00
235118,1698,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,294.75,0,44.72,24.07,50.43,1698,2018,1,7,7,0,43.633,13.899,0.048,0.048,0,12.787,0,0,0,0,41.882,4.686,0,0,0,3.6239999999999997,0,0,0,2018-01-07 07:00:00
247440,1698,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,74.5,0,61.09,33.42,58.68,1698,2018,1,7,7,0,54.701,16.632,0.048,0.048,0,16.03,0,0,0,0,53.144,4.959,0,0,0,4.407,0,0,0,2018-01-07 07:00:00
252719,1698,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,513.25,0,43.09,28.26,51.2,1698,2018,1,7,7,0,33.147999999999996,10.286,0.048,0.048,0,9.713,0,0,0,0,33.147999999999996,3.19,0,0,0,2.6679999999999997,0,0,0,2018-01-07 07:00:00
264120,2179,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,113,3.75,51.76,28.47,50.37,2179,2018,1,7,7,0,44.817,14.209999999999999,0.048,0.048,0,13.14,0,0,0,0,42.671,4.324,0,0,0,3.303,0,0,0,2018-01-07 07:00:00
267798,2678,2,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,242,0,97.75,37.2,73.31,2678,2018,1,7,7,0,65.196,19.769000000000002,0.048,0.048,0,19.107,0,0,0,0,65.301,6.101,0,0,0,5.488,0,0,0,2018-01-07 07:00:00
269666,2179,1.4,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,37.75,58.5,68.43,35.57,66.62,2179,2018,1,7,7,0,69.43299999999999,20.948,0.048,0.048,0,20.524,0,0,0,0,63.566,5.358,0,0,0,4.982,0,0,0,2018-01-07 07:00:00
276205,2179,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,77.25,0,58.63,36.93,56.89,2179,2018,1,7,7,0,44.900999999999996,14.698,0.048,0.048,0,13.155999999999999,0,0,0,0,43.062,4.4799999999999995,0,0,0,2.987,0,0,0,2018-01-07 07:00:00
279141,2678,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",0.6,Yes,973,42.75,55.22,11.73,57.59,1606.8,2018,1,7,7,0,55.56,17.965,0.048,0.048,0,16.576,0,0,0,0,55.900999999999996,5.941,0,0,0,4.599,0,0,0,2018-01-07 07:00:00
281196,1698,1.4,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,830,0,51.33,31.96,56.41,1698,2018,1,7,7,0,44.044,15.068999999999999,0.048,0.048,0,12.904,0,0,0,0,40.259,5.473,0,0,0,3.36,0,0,0,2018-01-07 07:00:00
286994,2678,1.1,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",1,Yes,3.25,14.5,38.54,26.83,48.77,2678,2018,1,7,7,0,39.215,13.879,0.048,0.048,0,11.5,0,0,0,0,46.117999999999995,6.271,0,0,0,4.181,0,0,0,2018-01-07 07:00:00
291013,2678,1.1,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,7.25,0,42.8,25.05,52.28,2678,2018,1,7,7,0,41.098,12.691,0.048,0.048,0,12.045,0,0,0,0,41.098,4.275,0,0,0,3.677,0,0,0,2018-01-07 07:00:00
299012,2678,1.4,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,14.25,42.5,86.11,62.53,86.09,2678,2018,1,7,7,0,59.519,17.865000000000002,0.048,0.048,0,17.445,0,0,0,0,58.664,4.84,0,0,0,4.468999999999999,0,0,0,2018-01-07 07:00:00
315832,1698,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,175.5,0,79.05,48.01,78.45,1698,2018,1,7,7,0,69.978,21.411,0.048,0.048,0,20.509,0,0,0,0,69.269,6.499,0,0,0,5.646,0,0,0,2018-01-07 07:00:00
331989,2179,1.7,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,41,4.5,45.8,49.57,53.17,2179,2018,1,7,7,0,42.832,14.84,0.048,0.048,0,12.565999999999999,0,0,0,0,39.819,4.949,0,0,0,2.725,0,0,0,2018-01-07 07:00:00
337272,1698,1.4,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,0,60,71.57,50.1,72.68,1698,2018,1,7,7,0,72.64,22.221,0.048,0.048,0,21.32,0,0,0,0,68.911,6.05,0,0,0,5.196999999999999,0,0,0,2018-01-07 07:00:00
