bldg_id,in.sqft,in.ground_thermal_conductivity,in.vintage,in.heating_fuel,in.hvac_heating_efficiency,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_has_ducts,out.unmet_hours.cooling.hour,out.unmet_hours.heating.hour,base_heating_size,base_cooling_size,upgrade_heating_size,sqft_conditioned,year,month,day,hour,baseline.cooling.energy.kbtu.CP,baseline.heating.energy.kbtu.CP,baseline_total_elec_kwh,baseline_cooling_total_elec_kwh,baseline_cooling_elec_kwh,baseline_cooling_fans_pumps_elec_kwh,baseline_heating_elec_kwh,baseline_heating_gas_kwh,baseline_heating_propane_kwh,baseline_heating_fuel_oil_kwh,upgrade.cooling.energy.kbtu.CP,upgrade.heating.energy.kbtu.CP,upgrade_total_elec_kwh,upgrade_cooling_total_elec_kwh,upgrade_cooling_elec_kwh,upgrade_cooling_fans_pumps_elec_kwh,upgrade_heating_elec_kwh,upgrade_heating_gas_kwh,upgrade_heating_propane_kwh,upgrade_heating_fuel_oil_kwh,time_hour
166032,2179,1.4,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,514,12.25,22.52,17.03,33.82,2179,2018,7,2,16,12.74,0,2.298,1.426,1.246,0.18,0,0,0,0,15.531,0,2.157,1.2889999999999997,1.1549999999999998,0.134,0,0,0,0,2018-07-02 16:00:00
169631,1698,1.1,1960s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",0.6,Yes,0,33,86.61,34.49,86.13,1018.8,2018,7,2,16,26.874,0,-0.9530000000000002,2.655,2.2889999999999997,0.366,0,0,0,0,45.318,0,0.24299999999999977,3.852,2.8049999999999997,1.0470000000000002,0,0,0,0,2018-07-02 16:00:00
178572,2179,1.1,1960s,Fuel Oil,"Fuel Wall/Floor Furnace, 68% AFUE","AC, SEER 13",1,Yes,454,8.5,60.96,38.65,75.24,2179,2018,7,2,16,25.229,0,4.571,3.591,3.035,0.556,0,0,0,0,32.728,0,4.819,3.839,2.924,0.915,0,0,0,0,2018-07-02 16:00:00
179163,1228,1.4,1960s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",1,Yes,81.25,16,54.31,24.89,57.42,1228,2018,7,2,16,15.554,0,2.3169999999999997,1.5739999999999998,1.388,0.186,0,0,0,0,13.664,0,2.043,1.299,1,0.299,0,0,0,0,2018-07-02 16:00:00
180284,1698,1.1,2000s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 10",1,Yes,16.25,0.75,39.2,24.8,48.56,1698,2018,7,2,16,17.505,0,3.497,2.8489999999999998,2.521,0.328,0,0,0,0,22.45,0,2.736,2.086,1.617,0.469,0,0,0,0,2018-07-02 16:00:00
186047,1698,1.4,1950s,Propane,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,0,0,74.74,45.53,74.53,1698,2018,7,2,16,28.392,0,7.49,3.6260000000000003,3.02,0.606,0,0,0,0,26.412,0,6.344,2.4819999999999998,1.8439999999999999,0.638,0,0,0,0,2018-07-02 16:00:00
188313,881,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,13.25,25.75,36.47,16.07,46.96,881,2018,7,2,16,11.652000000000001,0,2.009,1.145,1.049,0.096,0,0,0,0,12.027000000000001,0,1.787,0.922,0.746,0.176,0,0,0,0,2018-07-02 16:00:00
193577,1698,1.1,1970s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",1,Yes,548,0.5,34.63,21.1,42.37,1698,2018,7,2,16,18.191,0,2.885,1.9120000000000001,1.588,0.324,0,0,0,0,24.516,0,3.387,2.415,1.897,0.518,0,0,0,0,2018-07-02 16:00:00
203296,3310,1.7,1970s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",1,Yes,605.25,13,83.22,32.21,83.22,3310,2018,7,2,16,21.895,0,3.356,2.688,2.576,0.112,0,0,0,0,35.587,0,4.504,3.838,2.839,0.999,0,0,0,0,2018-07-02 16:00:00
209015,1228,1.1,1980s,Propane,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,0,0,41.71,29.51,51.14,1228,2018,7,2,16,16.378,0,2.856,2.005,1.664,0.34099999999999997,0,0,0,0,14.877,0,2.027,1.177,0.9279999999999999,0.249,0,0,0,0,2018-07-02 16:00:00
222942,1698,1.1,1970s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",1,Yes,151.75,0.75,43.57,23.65,52.82,1698,2018,7,2,16,17.47,0,2.404,2.1100000000000003,1.886,0.224,0,0,0,0,20.954,0,2.172,1.88,1.475,0.405,0,0,0,0,2018-07-02 16:00:00
225159,3310,1.1,2000s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 15",1,Yes,81.25,8.5,77.37,49.79,78.61,3310,2018,7,2,16,40.231,0,6.031,4.182,3.4059999999999997,0.776,0,0,0,0,47.805,0,6.543,4.694,3.3609999999999998,1.3330000000000002,0,0,0,0,2018-07-02 16:00:00
226697,1698,1.7,2000s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,3,9,30.66,25.73,38.67,1698,2018,7,2,16,17.582,0,3.36,1.956,1.633,0.323,0,0,0,0,17.158,0,2.934,1.53,1.198,0.332,0,0,0,0,2018-07-02 16:00:00
232634,2678,1.1,1950s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",1,Yes,185,27.5,69.84,40.12,72.94,2678,2018,7,2,16,27.531,0,3.7590000000000003,3.1759999999999997,2.932,0.244,0,0,0,0,32.341,0,3.956,3.375,2.6430000000000002,0.732,0,0,0,0,2018-07-02 16:00:00
248875,881,1.1,1950s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",0.8,Yes,554.75,0,35.8,15.17,41.45,704.8000000000001,2018,7,2,16,12.099,0,1.448,1.2309999999999999,0.955,0.276,0,0,0,0,13.812,0,1.516,1.2970000000000002,0.982,0.315,0,0,0,0,2018-07-02 16:00:00
249855,1228,1.1,1940s,Fuel Oil,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",1,Yes,3.75,45.25,69.69,46.48,68.73,1228,2018,7,2,16,29.746000000000002,0,4.51,3.793,3.306,0.487,0,0,0,0,28.519000000000002,0,3.532,2.8160000000000003,2.13,0.6859999999999999,0,0,0,0,2018-07-02 16:00:00
255088,5587,1.1,2010s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,82.75,0,65.63,44.39,64.19,5587,2018,7,2,16,36.302,0,5.724,4.401,3.477,0.924,0,0,0,0,38.466,0,5.075,3.751,2.73,1.021,0,0,0,0,2018-07-02 16:00:00
258163,2179,1.1,1950s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",0.8,Yes,75.5,20.25,67.81,30.87,67.81,1743.2,2018,7,2,16,23.885,0,3.393,2.552,2.36,0.192,0,0,0,0,33.337,0,4.267,3.426,2.629,0.797,0,0,0,0,2018-07-02 16:00:00
261826,1228,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,257.5,0,39.88,21.51,46.55,1228,2018,7,2,16,17.727999999999998,0,2.364,1.9540000000000002,1.626,0.328,0,0,0,0,22.493000000000002,0,2.629,2.2169999999999996,1.693,0.524,0,0,0,0,2018-07-02 16:00:00
265803,1228,1.4,1970s,Natural Gas,"Fuel Furnace, 60% AFUE","AC, SEER 13",1,Yes,135,6.75,49.04,22.76,55.16,1228,2018,7,2,16,14.383,0,2.883,1.976,1.82,0.156,0,0,0,0,18.767,0,2.806,1.9009999999999998,1.5,0.401,0,0,0,0,2018-07-02 16:00:00
278362,2179,1.4,2000s,Propane,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",0.6,Yes,20.5,0.5,53.42,20.34,55.96,1307.3999999999999,2018,7,2,16,15.231,0,2.32,1.8199999999999998,1.684,0.136,0,0,0,0,27.811999999999998,0,3.149,2.6470000000000002,1.987,0.66,0,0,0,0,2018-07-02 16:00:00
280527,1228,1.4,1950s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 15",1,Yes,60.25,0.75,47.05,27.95,53.11,1228,2018,7,2,16,17.252000000000002,0,2.8049999999999997,1.9089999999999998,1.745,0.164,0,0,0,0,17.232,0,2.423,1.528,1.264,0.264,0,0,0,0,2018-07-02 16:00:00
281329,1698,1.7,1980s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 10",1,Yes,14.5,4.5,46.36,34.02,54.86,1698,2018,7,2,16,25.253,0,4.58,3.864,3.328,0.536,0,0,0,0,23.683,0,2.88,2.169,1.7269999999999999,0.442,0,0,0,0,2018-07-02 16:00:00
285496,3310,1.1,1950s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",1,Yes,0.5,2.25,85.28,34.67,82.61,3310,2018,7,2,16,28.067,0,5.879,3.734,3.327,0.40700000000000003,0,0,0,0,25.147000000000002,0,3.894,2.141,1.542,0.599,0,0,0,0,2018-07-02 16:00:00
286428,1228,1.1,1960s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,2.5,0,68.14,48.36,67.31,1228,2018,7,2,16,32.153,0,5.054,4.05,3.383,0.667,0,0,0,0,31.055,0,4.1579999999999995,3.153,2.418,0.735,0,0,0,0,2018-07-02 16:00:00
293407,1698,1.7,1990s,Natural Gas,"Fuel Boiler, 76% AFUE","AC, SEER 15",1,Yes,1.25,3.25,20.19,24.45,46.03,1698,2018,7,2,16,18.605,0,2.318,1.796,1.46,0.336,0,0,0,0,16.562,0,1.9000000000000001,1.3760000000000001,1.039,0.337,0,0,0,0,2018-07-02 16:00:00
293548,2678,1.1,<1940,Fuel Oil,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,31,6.75,87.36,67.02,87.04,2678,2018,7,2,16,51.869,0,7.543,6.54,5.212,1.328,0,0,0,0,52.978,0,6.425,5.42,3.9739999999999998,1.446,0,0,0,0,2018-07-02 16:00:00
295464,1228,1.1,1970s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,84.5,10,46.71,24.85,54.84,1228,2018,7,2,16,18.71,0,4.048,2.113,1.737,0.376,0,0,0,0,22.779,0,3.889,1.9529999999999998,1.505,0.448,0,0,0,0,2018-07-02 16:00:00
307090,5587,1.4,2000s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",0.8,Yes,208.75,7.75,83.46,34.46,83.74,4469.6,2018,7,2,16,29.27,0,3.993,3.2990000000000004,2.7150000000000003,0.584,0,0,0,0,45.018,0,5.182,4.49,3.208,1.282,0,0,0,0,2018-07-02 16:00:00
334710,2179,1.7,1970s,Fuel Oil,"Fuel Boiler, 80% AFUE","AC, SEER 13",0.8,Yes,17.75,0.5,65.33,22.29,70.03,1743.2,2018,7,2,16,14.137,0,2.752,1.9809999999999999,1.709,0.272,0,0,0,0,17.796,0,2.479,1.709,1.334,0.375,0,0,0,0,2018-07-02 16:00:00
