time_hr,year,month,day,hour,interval_count.x,total_electricity_mwh_base,all_heating_electricity_mwh_base,all_cooling_electricity_mwh_base,heating_load_kbtu_base,cooling_load_kbtu_base,gas_total_mwh_base,gas_heating_mwh_base,interval_count.y,total_electricity_mwh_upg,all_heating_electricity_mwh_upg,all_cooling_electricity_mwh_upg,heating_load_kbtu_upg,cooling_load_kbtu_upg,gas_total_mwh_upg,gas_heating_mwh_upg,total_electricity_savings,heating_electricity_savings,cooling_electricity_savings,gas_total_savings,gas_heating_savings,cooling_load_ratio,heating_load_ratio,nonthermal_mwh,nonthermal_gas,cooling_mwh_scaled,heating_mwh_scaled,cooling_mwh_savings_scaled,heating_mwh_savings_scaled,total_mwh_scaled,total_mwh_savings_scaled,gas_heating_mwh_scaled,gas_total_mwh_scaled
2018-04-20 10:00:00,2018,4,20,10,400,0.00108667,0,4.037000000000001e-5,872.154,2.56,0.0038312331097511113,0.003114888285061254,400,0.00166013,6.2213e-4,1.42e-6,830.358,2.593,7.227454968624189e-4,0,-5.734599999999998e-4,-6.2213e-4,3.895000000000001e-5,0.003108487612888692,0.003114888285061254,1.012890625,0.9520772707572286,0.0010463,7.163448246898575e-4,4.089039453125001e-5,0,3.947039453125001e-5,-6.2213e-4,0.00108719039453125,-5.8265960546875e-4,0.002965614337154783,0.0036819591618446404
2018-04-20 11:00:00,2018,4,20,11,400,9.5506e-4,0,1.3130000000000001e-5,690.49,2.847,0.003361923751530823,0.002465571744830485,400,0.00142883,4.9262e-4,1.6e-6,653.404,2.9370000000000003,8.973718940245376e-4,0,-4.737700000000001e-4,-4.9262e-4,1.1530000000000001e-5,0.0024645518575062853,0.002465571744830485,1.0316122233930454,0.9462903155729989,9.4193e-4,8.963520067003382e-4,1.3545068493150687e-5,0,1.1945068493150687e-5,-4.9262e-4,9.554750684931507e-4,-4.8067493150684936e-4,0.002333146664483509,0.003229498671183847
2018-04-20 12:00:00,2018,4,20,12,400,9.4638e-4,0,4.62e-6,555.003,4.253,0.0027131435313584697,0.001993012228441987,400,0.00133863,3.9906e-4,2.41e-6,527.068,4.426,7.138009678007627e-4,0,-3.922499999999999e-4,-3.9906e-4,2.21e-6,0.001999342563557707,0.001993012228441987,1.0406771690571361,0.9496669387372679,9.4176e-4,7.201313029164829e-4,4.807928521043968e-6,0,2.3979285210439686e-6,-3.9906e-4,9.46567928521044e-4,-3.9666207147895605e-4,0.0018926978218504421,0.0026128291247669248
2018-04-20 13:00:00,2018,4,20,13,400,8.4966e-4,0,5.85e-6,370.417,6.753,0.0019510210055077109,0.0013219058541439135,400,0.00111336,2.6892e-4,3.83e-6,352.01,6.947,6.365884636531891e-4,0,-2.6370000000000007e-4,-2.6892e-4,2.02e-6,0.0013144325418545217,0.0013219058541439135,1.0287279727528507,0.9503073563038414,8.438100000000001e-4,6.291151513637973e-4,6.018058640604177e-6,0,2.188058640604177e-6,-2.6892e-4,8.498280586406043e-4,-2.6673194135939585e-4,0.0012562168575340738,0.0018853320088978711
2018-04-20 14:00:00,2018,4,20,14,400,8.1786e-4,0,1.098e-5,235.41,14.717,0.0013177882056079938,8.396749924397322e-4,400,9.8441e-4,1.7147e-4,8.18e-6,222.096,15.011000000000001,4.6765936809521847e-4,0,-1.6655e-4,-1.7147e-4,2.8000000000000003e-6,8.501288375127754e-4,8.396749924397322e-4,1.0199768974655161,0.9434433541480821,8.0688e-4,4.7811321316826164e-4,1.1199346334171368e-5,0,3.019346334171368e-6,-1.7147e-4,8.180793463341714e-4,-1.6845065366582863e-4,7.921857912616064e-4,0.001270299004429868
2018-04-20 15:00:00,2018,4,20,15,400,9.5233e-4,0,2.9389999999999998e-5,123.655,44.735,9.94908876888555e-4,4.409547321811256e-4,400,0.00103724,9.021e-5,2.443e-5,115.487,45.844,5.619403313696223e-4,0,-8.491e-5,-9.021e-5,4.9599999999999966e-6,4.329685455189326e-4,4.409547321811256e-4,1.0247904325472226,0.9339452508996805,9.2294e-4,5.539541447074294e-4,3.011859081256287e-5,0,5.688590812562868e-6,-9.021e-5,9.530585908125629e-4,-8.452140918743713e-5,4.118275779823028e-4,9.657817226897321e-4
2018-04-20 16:00:00,2018,4,20,16,400,9.6721e-4,0,6.213e-5,68.658,100.761,8.496745773540084e-4,2.4474365070082277e-4,400,0.00101318,5.029e-5,5.515e-5,63.78,104.462,6.045763106582772e-4,0,-4.5969999999999995e-5,-5.029e-5,6.980000000000004e-6,2.4509826669573116e-4,2.4474365070082277e-4,1.036730481039291,0.9289521978502141,9.050800000000001e-4,6.049309266531857e-4,6.441206478697115e-5,0,9.262064786971151e-6,-5.029e-5,9.694920647869712e-4,-4.102793521302885e-5,2.273551522284144e-4,8.322860788816e-4
2018-04-20 17:00:00,2018,4,20,17,400,0.00102652,0,8.943e-5,47.551,149.317,8.567932736484917e-4,1.6954161409463056e-4,400,0.00105923,3.602e-5,8.112e-5,45.39,155.64,6.824921853742643e-4,0,-3.271000000000003e-5,-3.602e-5,8.310000000000007e-6,1.7430108827422742e-4,1.6954161409463056e-4,1.0423461494672408,0.9545540577485226,9.370899999999999e-4,6.872516595538611e-4,9.321701614685535e-5,0,1.2097016146855354e-5,-3.602e-5,0.0010303070161468552,-2.3922983853144644e-5,1.618366356912637e-4,8.490882952451248e-4
2018-04-20 18:00:00,2018,4,20,18,400,0.00122473,0,9.549e-5,38.744,162.072,9.267522688093028e-4,1.3811267252936143e-4,400,0.00125374,3.002e-5,8.831e-5,37.815,168.507,7.942724222486516e-4,0,-2.9009999999999887e-5,-3.002e-5,7.179999999999996e-6,1.3247984656065124e-4,1.3811267252936143e-4,1.0397045757441137,0.9760220937435473,0.00112924,7.886395962799414e-4,9.928138993780541e-5,0,1.0971389937805407e-5,-3.002e-5,0.0012285213899378056,-1.9048610062194593e-5,1.3480101981462426e-4,9.234406160945656e-4
2018-04-20 19:00:00,2018,4,20,19,400,0.00116993,0,7.945e-5,62.466,129.829,9.72075709811437e-4,2.2243508083931324e-4,400,0.0012127,4.814e-5,7.086e-5,61.217,132.894,7.511177071657918e-4,0,-4.276999999999992e-5,-4.814e-5,8.590000000000011e-6,2.2095800264564525e-4,2.2243508083931324e-4,1.0236079766462038,0.980005122786796,0.00109048,7.496406289721238e-4,8.132565374454091e-5,0,1.0465653744540912e-5,-4.814e-5,0.0011718056537445409,-3.767434625545909e-5,2.1798751871002206e-4,9.676281476821459e-4
2018-04-20 20:00:00,2018,4,20,20,400,0.00117584,0,6.199000000000001e-5,114.894,90.202,0.0010227975199261436,4.093646015272617e-4,400,0.00124885,8.511e-5,4.911e-5,110.428,92.714,6.118884338590742e-4,0,-7.300999999999987e-5,-8.511e-5,1.2880000000000005e-5,4.1090908606706937e-4,4.093646015272617e-4,1.0278486064610541,0.9611293888279631,0.00111385,6.134329183988818e-4,6.371633511452075e-5,0,1.460633511452075e-5,-8.511e-5,0.0011775663351145207,-7.050366488547925e-5,3.9345234927369967e-4,0.0010068852676725815
2018-04-20 21:00:00,2018,4,20,21,400,0.0013319,0,6.439e-5,183.646,70.954,0.00132479260418511,6.540935986745759e-4,400,0.00143873,1.3395e-4,3.9109999999999997e-5,175.349,72.3,6.636975376441196e-4,0,-1.0683000000000003e-4,-1.3395e-4,2.5280000000000002e-5,6.610950665409903e-4,6.540935986745759e-4,1.018970036925332,0.9548206876272829,0.00126751,6.706990055105341e-4,6.561148067762213e-5,0,2.6501480677622132e-05,-1.3395e-4,0.001333121480677622,-1.0744851932237787e-4,6.245420996590625e-4,0.0012952411051695965
2018-04-20 22:00:00,2018,4,20,22,400,9.7145e-4,0,5.4680000000000005e-5,279.067,35.112,0.0015179762615105336,9.940062179924244e-4,400,0.00113837,2.0374e-4,2.044e-5,268.266,37.144,5.250631986098516e-4,0,-1.669200000000001e-4,-2.0374e-4,3.4240000000000004e-5,9.929130629006818e-4,9.940062179924244e-4,1.0578719526087945,0.9612960328523258,9.1677e-4,5.239700435181092e-4,5.7844438368648886e-5,0,3.7404438368648886e-5,-2.0374e-4,9.74614438368649e-4,-1.663355616313511e-4,9.555342339866617e-4,0.0014795042775047709
2018-04-20 23:00:00,2018,4,20,23,400,7.2067e-4,0,4.945e-5,430.011,12.504999999999999,0.0019517741981580534,0.0015320231579038883,400,9.8163e-4,3.0982e-4,6.43e-6,412.779,11.923,4.163631386829744e-4,0,-2.609600000000001e-4,-3.0982e-4,4.3020000000000005e-5,0.001535411059475079,0.0015320231579038883,0.9534586165533787,0.9599266065286701,6.712199999999999e-4,0.00041975104025416513,4.714852858856458e-5,0,4.071852858856458e-5,-3.0982e-4,7.183685285885645e-4,-2.691014714114354e-4,0.0014706297910900164,0.0018903808313441815
2018-04-21,2018,4,21,0,400,5.903e-4,0,4.983000000000001e-5,576.458,4.963,0.002242415709158548,0.0020533028089978166,400,9.4952e-4,4.145e-4,2.4e-6,555.653,4.541,1.980720827758964e-4,0,-3.5922000000000005e-4,-4.145e-4,4.743000000000001e-5,0.0020443436263826516,0.0020533028089978166,0.914970783800121,0.9639089057659015,5.404699999999999e-4,1.891129001607315e-4,4.5592994156760034e-5,0,4.319299415676004e-5,-4.145e-4,5.8606299415676e-4,-3.7130700584323993e-4,0.0019791968638271373,0.002168309763987869
2018-04-21 01:00:00,2018,4,21,1,400,5.8446e-4,0,4.846000000000001e-5,664.127,1.005,0.0025851007808002256,0.0023639083212984428,400,0.00100062,4.7364e-4,4.3e-7,639.779,0.8069999999999999,2.1871893966952946e-4,0,-4.1616000000000005e-4,-4.7364e-4,4.8030000000000006e-5,0.002366381841130696,0.0023639083212984428,0.8029850746268657,0.9633383373963114,5.36e-4,2.211924595017828e-4,3.891265671641792e-5,0,3.848265671641792e-5,-4.7364e-4,5.749126567164179e-4,-4.351573432835821e-4,0.0022772435119969474,0.0024984359714987302
2018-04-21 02:00:00,2018,4,21,2,400,5.7935e-4,0,4.9050000000000006e-5,848.633,1.468,0.003213518423017013,0.0030376494045173644,400,0.00112377,6.0351e-4,8.1e-7,818.497,1.575,1.7588367205315745e-4,0,-5.444200000000001e-4,-6.0351e-4,4.8240000000000006e-5,0.0030376347509638558,0.0030376494045173644,1.0728882833787465,0.9644887719426418,5.302999999999999e-4,1.758690184996488e-4,5.2625170299727525e-5,0,5.1815170299727524e-5,-6.0351e-4,5.829251702997274e-4,-5.516948297002725e-4,0.00292977874375525,0.003105647762254899
2018-04-21 03:00:00,2018,4,21,3,400,5.7678e-4,0,4.800000000000001e-5,948.341,0,0.003524871266546579,0.0033839890724040897,400,0.0011901,6.7139e-4,0,914.328,0,1.4519326958472233e-4,0,-6.133199999999999e-4,-6.7139e-4,4.800000000000001e-5,0.0033796779969618566,0.0033839890724040897,0,0.964134209108327,5.287800000000001e-4,1.4088219414248914e-4,0,0,0,-6.7139e-4,5.287800000000001e-4,-6.7139e-4,0.003262619627953538,0.0034035018220960273
